,message length,density,rep,tau idx,order
0,6.548184708514426e-06,5,0,0,1
1,4.962742988105784e-06,5,0,0,2
2,4.509950464581802e-06,5,0,0,3
3,2.913175871199769e-06,5,0,0,4
4,0.0034681657536452665,5,0,1,1
5,0.002619675322713344,5,0,1,2
6,0.002361855483797734,5,0,1,3
7,0.0015413807042516936,5,0,1,4
8,0.9931523987107764,5,0,2,1
9,0.740254695618661,5,0,2,2
10,0.5429066747904514,5,0,2,3
11,0.4139024572059453,5,0,2,4
12,4.8822107320507575,5,0,3,1
13,4.697884728026294,5,0,3,2
14,4.572100422552236,5,0,3,3
15,4.431993452037771,5,0,3,4
16,4.605170183724158,5,0,4,1
17,4.6051701859880945,5,0,4,2
18,4.605170185988095,5,0,4,3
19,4.605170185988092,5,0,4,4
20,3.4774086070180066e-06,5,1,0,1
21,2.668902379099336e-06,5,1,0,2
22,2.455651398065861e-06,5,1,0,3
23,2.074726369372115e-06,5,1,0,4
24,0.0016897867433851854,5,1,1,1
25,0.001285713814707233,5,1,1,2
26,0.0011758897954660189,5,1,1,3
27,0.00098394740069363,5,1,1,4
28,0.40224135264564165,5,1,2,1
29,0.27501810088105844,5,1,2,2
30,0.2188967250289154,5,1,2,3
31,0.1414770367414384,5,1,2,4
32,4.505446341604347,5,1,3,1
33,4.4217369516579295,5,1,3,2
34,4.321988245398136,5,1,3,3
35,4.488291901112429,5,1,3,4
36,4.605170185988092,5,1,4,1
37,4.605170185988093,5,1,4,2
38,4.605170185988087,5,1,4,3
39,4.605170185988092,5,1,4,4
40,3.8219437594536054e-06,5,2,0,1
41,3.05267412427368e-06,5,2,0,2
42,2.5416977740486124e-06,5,2,0,3
43,2.115633973787112e-06,5,2,0,4
44,0.003305434380040176,5,2,1,1
45,0.0026156896956129397,5,2,1,2
46,0.0021738818249774083,5,2,1,3
47,0.0017970673716405372,5,2,1,4
48,1.1245476094738747,5,2,2,1
49,0.8220842132589699,5,2,2,2
50,0.6264478287492086,5,2,2,3
51,0.4460666631643102,5,2,2,4
52,4.818481180092006,5,2,3,1
53,4.629378009898736,5,2,3,2
54,4.5559063415125145,5,2,3,3
55,4.455118322412925,5,2,3,4
56,4.605170185988089,5,2,4,1
57,4.605170185988089,5,2,4,2
58,4.605170185988089,5,2,4,3
59,4.605170185988092,5,2,4,4
60,5.881405268554074e-06,5,3,0,1
61,4.333871855506655e-06,5,3,0,2
62,3.308946809360558e-06,5,3,0,3
63,2.8167630050646153e-06,5,3,0,4
64,0.0032804167580476537,5,3,1,1
65,0.0023994456570709324,5,3,1,2
66,0.0018242561872364518,5,3,1,3
67,0.0015426176142279147,5,3,1,4
68,0.8514309978901985,5,3,2,1
69,0.5755515996888962,5,3,2,2
70,0.39853886138342876,5,3,2,3
71,0.2816531214364435,5,3,2,4
72,4.679105509406812,5,3,3,1
73,4.637054811726876,5,3,3,2
74,4.5891901782186,5,3,3,3
75,4.5204910601921675,5,3,3,4
76,4.605170183724099,5,3,4,1
77,4.605170185988093,5,3,4,2
78,4.60517018598809,5,3,4,3
79,4.605170185988092,5,3,4,4
80,2.1816774165642205e-06,5,4,0,1
81,1.736804564313188e-06,5,4,0,2
82,1.5815916878658687e-06,5,4,0,3
83,1.4292110384062084e-06,5,4,0,4
84,0.0013473202136346923,5,4,1,1
85,0.0010551581050631462,5,4,1,2
86,0.0009545885813414812,5,4,1,3
87,0.0008550552553101554,5,4,1,4
88,0.30189013976141876,5,4,2,1
89,0.17826346433713364,5,4,2,2
90,0.13156824007677947,5,4,2,3
91,0.08720954704907413,5,4,2,4
92,4.389294496674624,5,4,3,1
93,4.583154284196869,5,4,3,2
94,4.575988405594827,5,4,3,3
95,4.355983700264405,5,4,3,4
96,4.605170183724109,5,4,4,1
97,4.605170185988092,5,4,4,2
98,4.6051701859880945,5,4,4,3
99,4.605170185988092,5,4,4,4
100,6.591620470119963e-06,5,5,0,1
101,4.801380191300775e-06,5,5,0,2
102,4.141453893782843e-06,5,5,0,3
103,2.5620647203794533e-06,5,5,0,4
104,0.003062879734419134,5,5,1,1
105,0.0022329438040577243,5,5,1,2
106,0.0019030819149457867,5,5,1,3
107,0.0011873502236046107,5,5,1,4
108,0.8493907244036968,5,5,2,1
109,0.6367563202614219,5,5,2,2
110,0.4499823127280733,5,5,2,3
111,0.30679609449278455,5,5,2,4
112,4.60637195936673,5,5,3,1
113,4.612623399530382,5,5,3,2
114,4.533561683495342,5,5,3,3
115,4.543586216266835,5,5,3,4
116,4.605170185988091,5,5,4,1
117,4.60517018598809,5,5,4,2
118,4.605170185988088,5,5,4,3
119,4.605170185988092,5,5,4,4
120,3.2181161464875374e-06,5,6,0,1
121,2.3856125918042537e-06,5,6,0,2
122,2.293668251315828e-06,5,6,0,3
123,1.676894841651233e-06,5,6,0,4
124,0.0017097242565682902,5,6,1,1
125,0.0012606905989199085,5,6,1,2
126,0.0011993535501184233,5,6,1,3
127,0.0008782342998259196,5,6,1,4
128,0.5127608574669495,5,6,2,1
129,0.35875829832330264,5,6,2,2
130,0.26779296667221175,5,6,2,3
131,0.1954604409510372,5,6,2,4
132,4.7986045987709725,5,6,3,1
133,4.721763094727174,5,6,3,2
134,4.54094200957607,5,6,3,3
135,4.334478503353541,5,6,3,4
136,4.595119843481363,5,6,4,1
137,4.595119845659001,5,6,4,2
138,4.595119850134587,5,6,4,3
139,4.59511985013459,5,6,4,4
140,3.260748113013967e-06,5,7,0,1
141,2.3220586470307225e-06,5,7,0,2
142,2.0401512087833695e-06,5,7,0,3
143,1.751616711231918e-06,5,7,0,4
144,0.0015627500864137805,5,7,1,1
145,0.0011061502396013043,5,7,1,2
146,0.0009654998319938643,5,7,1,3
147,0.000823435471509093,5,7,1,4
148,0.4353895064993581,5,7,2,1
149,0.28787921221503354,5,7,2,2
150,0.21534088783823419,5,7,2,3
151,0.15785143487113729,5,7,2,4
152,4.65302750851515,5,7,3,1
153,4.740088084408352,5,7,3,2
154,4.572226725708586,5,7,3,3
155,4.363011505229473,5,7,3,4
156,4.605170183724123,5,7,4,1
157,4.605170183724138,5,7,4,2
158,4.605170185988092,5,7,4,3
159,4.605170185988092,5,7,4,4
160,6.444241976502618e-06,5,8,0,1
161,4.079452432692587e-06,5,8,0,2
162,3.910539973055183e-06,5,8,0,3
163,2.8242326344241064e-06,5,8,0,4
164,0.003489225071280945,5,8,1,1
165,0.0022068420115292503,5,8,1,2
166,0.0020911159762469003,5,8,1,3
167,0.0015112746283820755,5,8,1,4
168,0.9813969886088877,5,8,2,1
169,0.6551850387031923,5,8,2,2
170,0.5072448606890524,5,8,2,3
171,0.348758943426569,5,8,2,4
172,4.702276693587649,5,8,3,1
173,4.588990141617354,5,8,3,2
174,4.590921216637968,5,8,3,3
175,4.526736441870032,5,8,3,4
176,4.605170183724146,5,8,4,1
177,4.605170185988092,5,8,4,2
178,4.605170185988087,5,8,4,3
179,4.605170185988092,5,8,4,4
180,3.886147957120334e-06,5,9,0,1
181,2.756033352736831e-06,5,9,0,2
182,2.245620119689651e-06,5,9,0,3
183,2.177911140321953e-06,5,9,0,4
184,0.002203506949444038,5,9,1,1
185,0.0015451220740103563,5,9,1,2
186,0.001253257869283618,5,9,1,3
187,0.0012024232426046666,5,9,1,4
188,0.5630095430792286,5,9,2,1
189,0.3355870442863431,5,9,2,2
190,0.2421116595871901,5,9,2,3
191,0.17515419811639887,5,9,2,4
192,4.86273597275382,5,9,3,1
193,4.674188158109317,5,9,3,2
194,4.574256422575193,5,9,3,3
195,4.4154970388999795,5,9,3,4
196,4.605170177182521,5,9,4,1
197,4.605170183724152,5,9,4,2
198,4.605170185988094,5,9,4,3
199,4.605170185988092,5,9,4,4
200,5.077310650199174e-06,5,10,0,1
201,3.9714823552167156e-06,5,10,0,2
202,4.287277220044183e-06,5,10,0,3
203,2.7531547717174476e-06,5,10,0,4
204,0.004112012247442516,5,10,1,1
205,0.0032022807692976343,5,10,1,2
206,0.00340076445116258,5,10,1,3
207,0.0021969516761481955,5,10,1,4
208,1.3648416461881092,5,10,2,1
209,1.0050758158245046,5,10,2,2
210,0.7336570818399826,5,10,2,3
211,0.5188879839291598,5,10,2,4
212,4.8311676868253475,5,10,3,1
213,4.655887290742899,5,10,3,2
214,4.55595421593368,5,10,3,3
215,4.46800299628392,5,10,3,4
216,4.605170183724201,5,10,4,1
217,4.605170185988091,5,10,4,2
218,4.605170185988091,5,10,4,3
