,message length,density,rep,tau idx,order
0,4.42183682666103e-06,5,0,0,1
1,2.980492424461967e-06,5,0,0,2
2,2.694868100783232e-06,5,0,0,3
3,2.1105486283090613e-06,5,0,0,4
4,0.0023594034843777215,5,0,1,1
5,0.0015871395699276272,5,0,1,2
6,0.0014220228992388659,5,0,1,3
7,0.0011110113304093616,5,0,1,4
8,0.7019986470193226,5,0,2,1
9,0.4849060850132843,5,0,2,2
10,0.3483948350022509,5,0,2,3
11,0.2595428766941206,5,0,2,4
12,4.775385516441213,5,0,3,1
13,4.597647198699766,5,0,3,2
14,4.544892522635712,5,0,3,3
15,4.4053514205054904,5,0,3,4
16,4.60517018372413,5,0,4,1
17,4.605170185988094,5,0,4,2
18,4.605170185988093,5,0,4,3
19,4.605170185988092,5,0,4,4
20,2.6118625432447473e-06,5,1,0,1
21,1.7716705558376566e-06,5,1,0,2
22,1.570159481975586e-06,5,1,0,3
23,1.4228953215678075e-06,5,1,0,4
24,0.002543694222966922,5,1,1,1
25,0.0017088199093488535,5,1,1,2
26,0.0015044564980777955,5,1,1,3
27,0.0013463755697920021,5,1,1,4
28,0.9594120969334623,5,1,2,1
29,0.6268556303105826,5,1,2,2
30,0.4592245561976531,5,1,2,3
31,0.3273940708095484,5,1,2,4
32,4.927593038535463,5,1,3,1
33,4.6812707008367465,5,1,3,2
34,4.542402626253914,5,1,3,3
35,4.429569918200636,5,1,3,4
36,4.60517018372407,5,1,4,1
37,4.605170185988092,5,1,4,2
38,4.605170185988094,5,1,4,3
39,4.605170185988092,5,1,4,4
40,2.031512850102224e-06,5,2,0,1
41,1.8422799899220355e-06,5,2,0,2
42,1.7525424518063937e-06,5,2,0,3
43,1.5249172671261135e-06,5,2,0,4
44,0.0013814953846989428,5,2,1,1
45,0.0012391531876652165,5,2,1,2
46,0.001171435740415977,5,2,1,3
47,0.0010091146291237862,5,2,1,4
48,0.32404899799807163,5,2,2,1
49,0.23672197801621805,5,2,2,2
50,0.17864633770206037,5,2,2,3
51,0.11573336900374187,5,2,2,4
52,5.0500058631431335,5,2,3,1
53,4.647309406869762,5,2,3,2
54,4.51782453997489,5,2,3,3
55,4.236580587734958,5,2,3,4
56,4.605170183724128,5,2,4,1
57,4.605170185988092,5,2,4,2
58,4.60517018598809,5,2,4,3
59,4.605170185988092,5,2,4,4
60,3.6791204791053467e-06,10,0,0,1
61,2.5265470225271924e-06,10,0,0,2
62,2.1538154355363326e-06,10,0,0,3
63,1.6235685240673092e-06,10,0,0,4
64,0.0011664929026989415,10,0,1,1
65,0.0007994481726644534,10,0,1,2
66,0.0006798801700078211,10,0,1,3
67,0.0005116590475884308,10,0,1,4
68,0.2889645749403559,10,0,2,1
69,0.19675843509014965,10,0,2,2
70,0.15968777067183682,10,0,2,3
71,0.11734891796141778,10,0,2,4
72,4.597515096100986,10,0,3,1
73,4.610507498371157,10,0,3,2
74,4.6022346191030366,10,0,3,3
75,4.549259872742408,10,0,3,4
76,4.605170185988092,10,0,4,1
77,4.6051701859880945,10,0,4,2
78,4.6051701859880945,10,0,4,3
79,4.605170185988092,10,0,4,4
80,3.79178111548778e-06,10,1,0,1
81,2.9161958241194497e-06,10,1,0,2
82,2.4111866624085265e-06,10,1,0,3
83,1.986784802454622e-06,10,1,0,4
84,0.0011257099365471132,10,1,1,1
85,0.0008647162642814385,10,1,1,2
86,0.0007131585046549066,10,1,1,3
87,0.0005853519450811362,10,1,1,4
88,0.25607269564934065,10,1,2,1
89,0.1939688590400519,10,1,2,2
90,0.15307861292720654,10,1,2,3
91,0.1166469769623637,10,1,2,4
92,4.6065361762923,10,1,3,1
93,4.632341937076381,10,1,3,2
94,4.594934610401943,10,1,3,3
95,4.536022456857494,10,1,3,4
96,4.605170185988092,10,1,4,1
97,4.60517018598809,10,1,4,2
98,4.60517018598809,10,1,4,3
99,4.605170185988092,10,1,4,4
100,3.4976800720315504e-06,10,2,0,1
101,2.356534560779555e-06,10,2,0,2
102,2.5599553621150073e-06,10,2,0,3
103,1.911785390440457e-06,10,2,0,4
104,0.0011012971493218268,10,2,1,1
105,0.0007417517349592659,10,2,1,2
106,0.0008000757596729607,10,2,1,3
107,0.0005980881712845942,10,2,1,4
108,0.28929520735048686,10,2,2,1
109,0.19619610300928192,10,2,2,2
110,0.191407342664242,10,2,2,3
111,0.1426411321886798,10,2,2,4
112,4.645370090247318,10,2,3,1
113,4.642314847461563,10,2,3,2
114,4.595297370929717,10,2,3,3
115,4.544897487034057,10,2,3,4
116,4.605170185988094,10,2,4,1
117,4.60517018598809,10,2,4,2
118,4.605170185988095,10,2,4,3
119,4.605170185988092,10,2,4,4
